,영화관명,주소,xpos,ypos,법정동,법정동코드,B_시도명,B_시군구,B_동,행정동,행정동코드,H_시도명,H_시군구,H_동
18,CGV압구정제,서울특별시 강남구 신사동,127.0288659,37.5244988,B,1168010700,서울특별시,강남구,신사동,H,1168054500,서울특별시,강남구,압구정동
19,CGV여의도[COMFORTSEAT],서울특별시 영등포구 여의도동,126.9254109,37.5254692,B,1156011000,서울특별시,영등포구,여의도동,H,1156054000,서울특별시,영등포구,여의동
20,CGV연남(SuiteCinema),서울특별시 마포구 동교동,126.9258096,37.5577291,B,1144012100,서울특별시,마포구,동교동,H,1144066000,서울특별시,마포구,서교동
21,CGV영등포제[D],서울특별시 영등포구 영등포동4가,126.9031758,37.5171639,B,1156010500,서울특별시,영등포구,영등포동4가,H,1156053500,서울특별시,영등포구,영등포동
22,CGV왕십리,서울특별시 성동구 행당동,127.0387527,37.56054049999999,B,1120010700,서울특별시,성동구,행당동,H,1120056000,서울특별시,성동구,행당1동
23,CGV천호,서울특별시 강동구 천호동,127.1422439,37.54565820000001,B,1174010900,서울특별시,강동구,천호동,H,1174060000,서울특별시,강동구,천호1동
24,CGV청담씨네시티BMWCINEMASWEETBOXPREMIUM,서울특별시 강남구 신사동,127.0370092,37.522837,B,1168010700,서울특별시,강남구,신사동,H,1168054500,서울특별시,강남구,압구정동
25,CGV피카디리,서울특별시 종로구 돈의동,126.9911934,37.5710462,B,1111015300,서울특별시,종로구,돈의동,H,1111061500,서울특별시,종로구,종로1.2.3.4가동
26,CGV하계제,서울특별시 노원구 중계동,127.0646102,37.6388901,B,1135010600,서울특별시,노원구,중계동,H,1135062500,서울특별시,노원구,중계2.3동
27,CGV홍대,서울특별시 마포구 동교동,126.9226104,37.5564405,B,1144012100,서울특별시,마포구,동교동,H,1144066000,서울특별시,마포구,서교동
28,KU시네마테크,서울특별시 광진구 화양동,127.07307,37.5428904,B,1121510700,서울특별시,광진구,화양동,H,1121571000,서울특별시,광진구,화양동
29,강남비디오소극장,서울특별시 강남구 논현동,127.0249839,37.5071602,B,1168010800,서울특별시,강남구,논현동,H,1168052100,서울특별시,강남구,논현1동
30,낭만극장,서울특별시 종로구 낙원동,126.9877902,37.5725341,B,1111013700,서울특별시,종로구,낙원동,H,1111061500,서울특별시,종로구,종로1.2.3.4가동
31,대한극장(),서울특별시 중구 필동2가,126.9952645,37.561303,B,1114013800,서울특별시,중구,필동2가,H,1114057000,서울특별시,중구,필동
32,더숲아트시네마제,서울특별시 노원구 상계동,127.0614199,37.65415720000001,B,1135010500,서울특별시,노원구,상계동,H,1135069500,서울특별시,노원구,상계6.7동
33,독립영화전용인디스페이스,서울특별시 종로구 관수동,126.9916588,37.56964779999999,B,1111015500,서울특별시,종로구,관수동,H,1111061500,서울특별시,종로구,종로1.2.3.4가동
34,롯데시네마가산디털(제),서울특별시 금천구 가산동,126.8891923,37.4776412,B,1154510100,서울특별시,금천구,가산동,H,1154551000,서울특별시,금천구,가산동
35,롯데시네마가양,서울특별시 강서구 등촌동,126.8532562,37.561561,B,1150010200,서울특별시,강서구,등촌동,H,1150053500,서울특별시,강서구,등촌3동
36,롯데시네마건대입구(제),서울특별시 광진구 자양동,127.0731712,37.538514,B,1121510500,서울특별시,광진구,자양동,H,1121584000,서울특별시,광진구,자양3동
37,롯데시네마김포공항(),서울특별시 강서구 방화동,126.803121,37.563235,B,1150010900,서울특별시,강서구,방화동,H,1150064000,서울특별시,강서구,방화2동
38,롯데시네마노원(제),서울특별시 노원구 상계동,127.0610322,37.6547955,B,1135010500,서울특별시,노원구,상계동,H,1135064000,서울특별시,노원구,상계2동
