,병원분류명,주소,xpos,ypos,법정동,법정동코드,B_시도명,B_시군구,B_동,행정동,행정동코드,H_시도명,H_시군구,H_동
4750,의원,서울특별시 강남구 테헤란로 528 슈페리어타워 13층 (대치동),127.062,37.50809527,B,1168010600,서울특별시,강남구,대치동,H,1168061000,서울특별시,강남구,대치2동
4751,치과의원,서울특별시 마포구 마포대로 173-14 마포 센텀 슬로우스퀘어 2층 208209호 (아현동),126.9536258,37.55099813,B,1144010100,서울특별시,마포구,아현동,H,1144055500,서울특별시,마포구,아현동
4752,의원,서울특별시 강남구 도산대로 121 YK타워 지하1층지상2~8층12~15층 (신사동),127.0217288,37.51740764,B,1168010700,서울특별시,강남구,신사동,H,1168051000,서울특별시,강남구,신사동
4753,의원,서울특별시 광진구 아차산로 237 4층 (화양동),127.0697461,37.5404982,B,1121510700,서울특별시,광진구,화양동,H,1121571000,서울특별시,광진구,화양동
4754,의원,서울특별시 강남구 압구정로 162 베네하임시티 5층 (신사동),127.027466,37.5263097,B,1168010700,서울특별시,강남구,신사동,H,1168051000,서울특별시,강남구,신사동
4755,의원,서울특별시 강남구 도곡로 442 501호 (대치동 진흥빌딩),127.0588412,37.49794796,B,1168010600,서울특별시,강남구,대치동,H,1168060000,서울특별시,강남구,대치1동
4756,의원,서울특별시 중랑구 면목로 481 5층 501호 (상봉동),127.0856719,37.59472044,B,1126010200,서울특별시,중랑구,상봉동,H,1126059000,서울특별시,중랑구,상봉2동
4757,의원,서울특별시 서초구 신반포로 177 3동 3층 123호 (잠원동 반포쇼핑타운),127.003105,37.50598656,B,1165010600,서울특별시,서초구,잠원동,H,1165058000,서울특별시,서초구,반포3동
4758,의원,서울특별시 서초구 강남대로 557 성한빌딩 6층 (잠원동),127.0206398,37.51154076,B,1165010600,서울특별시,서초구,잠원동,H,1165054000,서울특별시,서초구,잠원동
4759,의원,서울특별시 중구 다산로 230 4층 (신당동 하나빌딩),127.0159577,37.56350601,B,1114016200,서울특별시,중구,신당동,H,1114066500,서울특별시,중구,동화동
4760,의원,서울특별시 강남구 압구정로 467 3~6층 (청담동),127.0474318,37.52468409,B,1168010400,서울특별시,강남구,청담동,H,1168056500,서울특별시,강남구,청담동
4761,의원,서울특별시 강동구 양재대로 1473 2층 203호 (길동),127.1395908,37.53751345,B,1174010500,서울특별시,강동구,길동,H,1174068500,서울특별시,강동구,길동
4762,의원,서울특별시 영등포구 여의대방로 83 2~3층 (신길동),126.9136192,37.49681414,B,1156013200,서울특별시,영등포구,신길동,H,1156068000,서울특별시,영등포구,신길6동
