,약국명,주소,xpos,ypos,법정동,법정동코드,B_시도명,B_시군구,B_동,행정동,행정동코드,H_시도명,H_시군구,H_동
221,시대약국,서울특별시 성동구 마장로 321 (마장동),127.0447331,37.5675566,B,1120010500,서울특별시,성동구,마장동,H,1120054000,서울특별시,성동구,마장동
222,메디칼청실약국,"서울특별시 강남구 남부순환로 2917 112호, 113호 (대치동, 청실상가동)",127.059201,37.4931523,B,1168010600,서울특별시,강남구,대치동,H,1168060000,서울특별시,강남구,대치1동
223,신일약국,서울특별시 마포구 손기정로 54 1층 (아현동),126.9624673,37.5560839,B,1144010100,서울특별시,마포구,아현동,H,1144056500,서울특별시,마포구,공덕동
224,코코약국,서울특별시 강남구 논현로28길 48 (도곡동),127.0457226,37.4843405,B,1168011800,서울특별시,강남구,도곡동,H,1168065600,서울특별시,강남구,도곡2동
225,윤약국,서울특별시 강서구 가로공원로76길 91 (화곡동),126.838986,37.5332224,B,1150010300,서울특별시,강서구,화곡동,H,1150054000,서울특별시,강서구,화곡1동
226,용약국,서울특별시 마포구 신촌로 102-1 1층 (노고산동),126.9373819,37.554616,B,1144011000,서울특별시,마포구,노고산동,H,1144060000,서울특별시,마포구,대흥동
227,성실약국,서울특별시 은평구 갈현로11길 26 지층 (구산동),126.9077511,37.605127,B,1138010500,서울특별시,은평구,구산동,H,1138056000,서울특별시,은평구,구산동
228,녹십자약국,서울특별시 영등포구 대림로 157 (대림동),126.8994776,37.4948846,B,1156013300,서울특별시,영등포구,대림동,H,1156072000,서울특별시,영등포구,대림3동
229,조일약국,서울특별시 성북구 삼선교로10길 38 (삼선동1가),127.0096929,37.5863908,B,1129011100,서울특별시,성북구,삼선동1가,H,1129055500,서울특별시,성북구,삼선동
230,동아약국,서울특별시 중랑구 동일로130길 52 (중화동),127.0829599,37.600186,B,1126010300,서울특별시,중랑구,중화동,H,1126060000,서울특별시,중랑구,중화1동
231,팜엑스약국,"서울특별시 강남구 봉은사로 524 H112호 (삼성동, 코엑스몰)",127.0572911,37.5128784,B,1168010500,서울특별시,강남구,삼성동,H,1168058000,서울특별시,강남구,삼성1동
232,다현약국,서울특별시 강남구 언주로167길 46 1층 2호 (신사동),127.029393,37.5266107,B,1168010700,서울특별시,강남구,신사동,H,1168054500,서울특별시,강남구,압구정동
233,영보약국,서울특별시 강서구 양천로57길 16 (가양동),126.8525226,37.5633795,B,1150010400,서울특별시,강서구,가양동,H,1150060400,서울특별시,강서구,가양2동
234,한미약국,서울특별시 성북구 종암로 97 (종암동),127.0342575,37.5989708,B,1129013500,서울특별시,성북구,종암동,H,1129070500,서울특별시,성북구,종암동
235,일번약국,서울특별시 송파구 토성로 21 (풍납동),127.1130219,37.5308086,B,1171010300,서울특별시,송파구,풍납동,H,1171052000,서울특별시,송파구,풍납2동
236,종로모범약국,서울특별시 노원구 덕릉로 730 107호 (상계동),127.0761611,37.6627862,B,1135010500,서울특별시,노원구,상계동,H,1135066500,서울특별시,노원구,상계3.4동
237,광진온누리약국,"서울특별시 광진구 아차산로69길 8 103, 104호 (광장동)",127.0985302,37.5425315,B,1121510400,서울특별시,광진구,광장동,H,1121581000,서울특별시,광진구,광장동
238,수인약국,"서울특별시 동대문구 장한로 119 3층 305호 (장안동, 삼성쉐르빌빌딩)",127.0705625,37.5713,B,1123010600,서울특별시,동대문구,장안동,H,1123065000,서울특별시,동대문구,장안1동
239,옵티마하나약국,"서울특별시 송파구 올림픽로51길 30 (풍납동, 대아(아)상가 1층14호)",127.1180986,37.5328767,B,1171010300,서울특별시,송파구,풍납동,H,1171052000,서울특별시,송파구,풍납2동
240,목동복지약국,서울특별시 양천구 목동동로 430 (목동),126.8850851,37.5350632,B,1147010200,서울특별시,양천구,목동,H,1147055000,서울특별시,양천구,목5동
241,우리약국,서울특별시 강동구 구천면로 250 (천호동),127.1314715,37.5425218,B,1174010900,서울특별시,강동구,천호동,H,1174060000,서울특별시,강동구,천호1동
242,바른손약국,서울특별시 동대문구 휘경로 34 (휘경동),127.0635526,37.5947809,B,1123010900,서울특별시,동대문구,휘경동,H,1123072000,서울특별시,동대문구,휘경1동
243,예약국,"서울특별시 강서구 공항대로41길 75 108호 (등촌동, 경원프라자)",126.8463831,37.5611523,B,1150010200,서울특별시,강서구,등촌동,H,1150053500,서울특별시,강서구,등촌3동
244,예다인온누리약국,"서울특별시 강서구 양천로 452 1층 105-1호 (등촌동, 예다인상가)",126.8508201,37.5628582,B,1150010200,서울특별시,강서구,등촌동,H,1150053500,서울특별시,강서구,등촌3동
245,대학약국,서울특별시 성동구 사근동길 4 1층 (행당동),127.0416034,37.559988,B,1120010700,서울특별시,성동구,행당동,H,1120055000,서울특별시,성동구,사근동
246,다마트약국,서울특별시 강서구 금낭화로 135 (방화동),126.8124526,37.5774508,B,1150010900,서울특별시,강서구,방화동,H,1150064100,서울특별시,강서구,방화3동
247,우리들약국,서울특별시 은평구 연서로 35 1층 (역촌동),126.915578,37.6022741,B,1138010800,서울특별시,은평구,역촌동,H,1138062500,서울특별시,은평구,역촌동
248,스마일약국,"서울특별시 광진구 아차산로 546 104호 (광장동, 삼성아파트상가)",127.1019826,37.5429223,B,1121510400,서울특별시,광진구,광장동,H,1121581000,서울특별시,광진구,광장동
249,다나을약국,"서울특별시 강북구 도봉로 333 6층 (수유동, 정우빌딩)",127.0250751,37.6378733,B,1130510300,서울특별시,강북구,수유동,H,1130563500,서울특별시,강북구,수유3동
250,초록약국,서울특별시 중랑구 용마산로 426 (면목동),127.0971188,37.5894344,B,1126010100,서울특별시,중랑구,면목동,H,1126057500,서울특별시,중랑구,면목제3.8동
251,건강제일녹십자약국,서울특별시 도봉구 해등로 190 (쌍문동),127.035725,37.6582071,B,1132010500,서울특별시,도봉구,쌍문동,H,1132067000,서울특별시,도봉구,쌍문2동
252,메디칼하나약국,서울특별시 중구 다산로 134 (신당동),127.0114361,37.5556879,B,1114016200,서울특별시,중구,신당동,H,1114064500,서울특별시,중구,청구동
253,진로약국,"서울특별시 성동구 성덕정길 106 (성수동2가,승재빌딩 1층)",127.0551164,37.5371539,B,1120011500,서울특별시,성동구,성수동2가,H,1120067000,서울특별시,성동구,성수2가1동
254,초록약국,서울특별시 도봉구 방학로 163 (방학동),127.03399,37.6621935,B,1132010600,서울특별시,도봉구,방학동,H,1132071000,서울특별시,도봉구,방학3동
255,태림약국,서울특별시 관악구 장군봉2길 2 (봉천동),126.9401687,37.482383,B,1162010100,서울특별시,관악구,봉천동,H,1162059500,서울특별시,관악구,청룡동
256,푸른약국,서울특별시 서대문구 거북골로 67 (남가좌동),126.9211485,37.5774402,B,1141012000,서울특별시,서대문구,남가좌동,H,1141070000,서울특별시,서대문구,남가좌2동
257,유성약국,서울특별시 동작구 등용로14길 65 (노량진동),126.9351456,37.5125202,B,1159010100,서울특별시,동작구,노량진동,H,1159052000,서울특별시,동작구,노량진2동
258,송약국,서울특별시 영등포구 디지털로 413 101호 송약국 (대림동),126.9685302,37.5627919,B,1141010400,서울특별시,서대문구,미근동,H,1141056500,서울특별시,서대문구,충현동
259,유한약국,"서울특별시 송파구 올림픽로 104 (잠실동, 동성빌딩 1층 3호)",127.0822888,37.5114721,B,1171010100,서울특별시,송파구,잠실동,H,1171065000,서울특별시,송파구,잠실본동
260,메디컬수약국,서울특별시 중랑구 면목로 430 1층 (면목동),127.0872886,37.5902738,B,1126010100,서울특별시,중랑구,면목동,H,1126056500,서울특별시,중랑구,면목본동
261,광희약국,서울특별시 중구 퇴계로 322 정미식품 (광희동2가),127.0074951,37.5640094,B,1114014600,서울특별시,중구,광희동2가,H,1114059000,서울특별시,중구,광희동
262,중앙약국,"서울특별시 노원구 상계로27길 32 105호, 106호 (상계동, 대명빌딩)",127.0698386,37.6599017,B,1135010500,서울특별시,노원구,상계동,H,1135067000,서울특별시,노원구,상계5동
263,홍주약국,"서울특별시 용산구 이촌로 206 3층 (이촌동, 국민은행PB센터)",126.969866,37.5209,B,1117012900,서울특별시,용산구,이촌동,H,1117063000,서울특별시,용산구,이촌1동
264,100세약국,서울특별시 영등포구 양평로 24 (당산동6가),126.903739,37.5332486,B,1156011600,서울특별시,영등포구,당산동6가,H,1156056000,서울특별시,영등포구,당산2동
265,명문온누리약국,서울특별시 동대문구 사가정로 225 1층 (장안동),127.0701566,37.5789421,B,1123010600,서울특별시,동대문구,장안동,H,1123066000,서울특별시,동대문구,장안2동
266,은혜약국,"서울특별시 강남구 밤고개로1길 10 2층 220-2호 (수서동, 수서현대벤쳐빌)",127.1018445,37.4880245,B,1168011500,서울특별시,강남구,수서동,H,1168075000,서울특별시,강남구,수서동
267,태양약국,서울특별시 구로구 경인로 191 (오류동),126.8423266,37.4956425,B,1153010800,서울특별시,구로구,오류동,H,1153077000,서울특별시,구로구,오류1동
268,윤선약국,서울특별시 관악구 신림로 129-1 (신림동),126.9348069,37.4709276,B,1162010200,서울특별시,관악구,신림동,H,1162073500,서울특별시,관악구,대학동
269,신다정약국,서울특별시 관악구 관악로 154 (봉천동),126.952644,37.478908,B,1162010100,서울특별시,관악구,봉천동,H,1162058500,서울특별시,관악구,낙성대동
270,이화약국,서울특별시 마포구 월드컵로 126 1층 (성산동),126.9072499,37.5595401,B,1144012500,서울특별시,마포구,성산동,H,1144072000,서울특별시,마포구,성산1동
271,푸른온누리약국,서울특별시 강서구 방화대로34길 92 불해빌딩 1층 (방화동),126.8214511,37.5708584,B,1150010900,서울특별시,강서구,방화동,H,1150063000,서울특별시,강서구,방화1동
272,정약국,서울특별시 광진구 자양로26길 8 (구의동),127.0844613,37.5418246,B,1121510300,서울특별시,광진구,구의동,H,1121585000,서울특별시,광진구,구의1동
273,새봄약국,서울특별시 강남구 압구정로 152 108호 (신사동),127.0260696,37.5255661,B,1168010700,서울특별시,강남구,신사동,H,1168051000,서울특별시,강남구,신사동
274,라임약국,서울특별시 동작구 여의대방로 142 (대방동),126.920671,37.49968,B,1159010800,서울특별시,동작구,대방동,H,1159066000,서울특별시,동작구,대방동
275,가까운약국,서울특별시 서대문구 모래내로 364 (홍은동),126.9365279,37.5818916,B,1141011800,서울특별시,서대문구,홍은동,H,1141068500,서울특별시,서대문구,홍은2동
276,답십리코코약국,"서울특별시 동대문구 답십리로 130 근린생활시설-3동 제지1층 3-2호 (답십리동, 래미안위브)",127.0538624,37.571288,B,1123010500,서울특별시,동대문구,답십리동,H,1123060000,서울특별시,동대문구,답십리1동
277,청담와이약국,서울특별시 강남구 압구정로 461 B104호 (청담동),127.0472279,37.525274,B,1168010400,서울특별시,강남구,청담동,H,1168056500,서울특별시,강남구,청담동
278,신촌세민약국,서울특별시 마포구 신촌로 78 1층 (노고산동),126.9345181,37.5557343,B,1144011000,서울특별시,마포구,노고산동,H,1144066000,서울특별시,마포구,서교동
279,애오개약국,"서울특별시 마포구 마포대로 204 103호 (아현동, 마포에스케이허브)",126.9565447,37.5520276,B,1144010100,서울특별시,마포구,아현동,H,1144056500,서울특별시,마포구,공덕동
280,드림약국,서울특별시 강남구 논현로 717 지하1층 일부호 (논현동),127.0295561,37.5159635,B,1168010800,서울특별시,강남구,논현동,H,1168052100,서울특별시,강남구,논현1동
281,삼성건강약국,"서울특별시 강남구 선릉로 670 1층 일부호 (삼성동, 해운빌딩)",127.0417196,37.516703,B,1168010500,서울특별시,강남구,삼성동,H,1168059000,서울특별시,강남구,삼성2동
282,정약국,서울특별시 서대문구 신촌로 109 신촌르메이에르타운5 1층 111-2호 (창천동),126.9377833,37.5558484,B,1141011600,서울특별시,서대문구,창천동,H,1141058500,서울특별시,서대문구,신촌동
283,장안수약국,서울특별시 동대문구 천호대로83길 43-1 1층 (장안동),127.0651724,37.5641695,B,1123010600,서울특별시,동대문구,장안동,H,1123065000,서울특별시,동대문구,장안1동
284,경일약국,서울특별시 금천구 시흥대로72길 32 (시흥동),126.9002907,37.4581265,B,1154510300,서울특별시,금천구,시흥동,H,1154567000,서울특별시,금천구,시흥1동
285,금강온누리약국,서울특별시 영등포구 영중로 10-1 (영등포동3가),126.9064192,37.5173501,B,1156010400,서울특별시,영등포구,영등포동3가,H,1156053500,서울특별시,영등포구,영등포동
286,태령약국,서울특별시 영등포구 신길로 157 (신길동),126.9108697,37.5063897,B,1156013200,서울특별시,영등포구,신길동,H,1156065000,서울특별시,영등포구,신길3동
287,이도온누리약국,서울특별시 영등포구 당산로31길 14 1층 (당산동3가),126.8952579,37.5268113,B,1156011300,서울특별시,영등포구,당산동3가,H,1156055000,서울특별시,영등포구,당산1동
288,피보약국,서울특별시 영등포구 영등포로 180-1 (영등포동4가),126.9015244,37.5202146,B,1156010500,서울특별시,영등포구,영등포동4가,H,1156053500,서울특별시,영등포구,영등포동
289,감초당약국,서울특별시 동대문구 약령중앙로 11 1층 (제기동),127.0367887,37.579326,B,1123010300,서울특별시,동대문구,제기동,H,1123054500,서울특별시,동대문구,제기동
290,대흥약국,서울특별시 영등포구 신길로39길 13 (신길동),126.9094883,37.5067868,B,1156013200,서울특별시,영등포구,신길동,H,1156065000,서울특별시,영등포구,신길3동
291,유경약국,서울특별시 도봉구 마들로 684 1층 (도봉동),127.0467244,37.6710989,B,1132010800,서울특별시,도봉구,도봉동,H,1132052200,서울특별시,도봉구,도봉2동
292,희망약국,서울특별시 강남구 일원로 95 신영프라자 111호 (일원동),127.0834524,37.4858215,B,1168011400,서울특별시,강남구,일원동,H,1168072000,서울특별시,강남구,일원본동
