,공원명,주소,xpos,ypos,법정동,법정동코드,B_시도명,B_시군구,B_동,행정동,행정동코드,H_시도명,H_시군구,H_동
27,계남근린공원,서울 양천구 신정동,126.848187630714,37.5138524901244,B,1147010100,서울특별시,양천구,신정동,H,1147064000,서울특별시,양천구,신정3동
28,고척근린공원,서울 구로구 고척동 산 9-14,126.8520594675,37.5052221817965,B,1153010600,서울특별시,구로구,고척동,H,1153073000,서울특별시,구로구,고척2동
29,파리근린공원,서울 양천구 목5동 906,126.877168427609,37.5347714061068,B,1147010200,서울특별시,양천구,목동,H,1147055000,서울특별시,양천구,목5동
30,허준공원,서울 강서구 가양동 1471,126.852288177516,37.5681915373236,B,1150010400,서울특별시,강서구,가양동,H,1150060400,서울특별시,강서구,가양2동
31,궁산근린공원,서울 강서구 가양동 산 8-1,126.839068805614,37.5738000661701,B,1150010400,서울특별시,강서구,가양동,H,1150060300,서울특별시,강서구,가양1동
32,까치산근린공원,서울 동작구 사당동,126.963936345046,37.4845897625484,B,1159010700,서울특별시,동작구,사당동,H,1159065100,서울특별시,동작구,사당5동
33,꿩고개근린공원,서울 강서구 방화동,126.815597825426,37.5801808080392,B,1150010900,서울특별시,강서구,방화동,H,1150064100,서울특별시,강서구,방화3동
34,노량진공원,서울 동작구 대방동 350-5,126.92673749595534,37.50775364787669,B,1159010800,서울특별시,동작구,대방동,H,1159066000,서울특별시,동작구,대방동
35,답십리근린공원,서울 동대문구 답십리동 산 2-9,127.06410067367965,37.57442934825028,B,1123010500,서울특별시,동대문구,답십리동,H,1123061000,서울특별시,동대문구,답십리2동
36,대모산도시자연공원,서울 강남구 일원동 53-22,127.081321216711,37.4798207668752,B,1168011400,서울특별시,강남구,일원동,H,1168072000,서울특별시,강남구,일원본동
37,탑골근린공원,서울 종로구 종로2가 38-1,126.988345222457,37.5711665541042,B,1111013800,서울특별시,종로구,종로2가,H,1111061500,서울특별시,종로구,종로1.2.3.4가동
38,천마근린공원,서울 송파구 마천동 산 1-5,127.157225481903,37.4996636025811,B,1171011400,서울특별시,송파구,마천동,H,1171055000,서울특별시,송파구,마천2동
39,도산근린공원,서울 강남구 신사동 649-9,127.03528760485077,37.52455769460598,B,1168010700,서울특별시,강남구,신사동,H,1168054500,서울특별시,강남구,압구정동
40,초안산근린공원,서울 도봉구 창동 산 48-4,127.040638931429,37.6482307581775,B,1132010700,서울특별시,도봉구,창동,H,1132051100,서울특별시,도봉구,창1동
41,동명근린공원,서울 강동구 고덕2동 229,127.164992543126,37.5613463153383,B,1174010200,서울특별시,강동구,고덕동,H,1174056000,서울특별시,강동구,고덕2동
42,마로니에공원,서울 종로구 동숭동 1-124,127.002825745303,37.5802887643268,B,1111016800,서울특별시,종로구,동숭동,H,1111064000,서울특별시,종로구,이화동
43,자매근린공원,서울 영등포구 여의도동 56,126.930451679472,37.5175732328357,B,1156011000,서울특별시,영등포구,여의도동,H,1156054000,서울특별시,영등포구,여의동
