,지구대파출소,청,서,주소,xpos,ypos,법정동,법정동코드,B_시도명,B_시군구,B_동,행정동,행정동코드,H_시도명,H_시군구,H_동
99,신창파출소,서울청,서울도봉경찰서,도봉구 창2동 647-10,127.034625,37.643524,B,1132010700,서울특별시,도봉구,창동,H,1132051200,서울특별시,도봉구,창2동
100,쌍문파출소,서울청,서울도봉경찰서,도봉구 쌍문2동 43-3,127.038035,37.6575813,B,1132010500,서울특별시,도봉구,쌍문동,H,1132067000,서울특별시,도봉구,쌍문2동
101,창동지구대,서울청,서울도봉경찰서,도봉구 창4동 33-2,127.0517745,37.6522845,B,1132010700,서울특별시,도봉구,창동,H,1132051400,서울특별시,도봉구,창4동
102,답십리지구대,서울청,서울동대문경찰서,동대문구 답십리1동 225-3,127.0536384,37.5738889,B,1123010500,서울특별시,동대문구,답십리동,H,1123060000,서울특별시,동대문구,답십리1동
103,서울동대문경찰서,서울청,서울동대문경찰서,동대문구 청량1리동 229,127.0457643,37.5851004,B,1123010700,서울특별시,동대문구,청량리동,H,1123070500,서울특별시,동대문구,청량리동
104,용신지구대,서울청,서울동대문경찰서,동대문구 용신동 255-47,127.028204,37.5708187,B,1123010200,서울특별시,동대문구,용두동,H,1123053600,서울특별시,동대문구,용신동
105,이문지구대,서울청,서울동대문경찰서,동대문구 이문동 92-1,127.0681118,37.5964664,B,1123011000,서울특별시,동대문구,이문동,H,1123074000,서울특별시,동대문구,이문1동
106,장안1파출소,서울청,서울동대문경찰서,동대문구 장안동 388,127.0685879,37.572425,B,1123010600,서울특별시,동대문구,장안동,H,1123065000,서울특별시,동대문구,장안1동
107,장안2파출소,서울청,서울동대문경찰서,동대문구 장안동 329-5,127.0743919,37.5767905,B,1123010600,서울특별시,동대문구,장안동,H,1123066000,서울특별시,동대문구,장안2동
108,전농1파출소,서울청,서울동대문경찰서,동대문구 서울시립대로 56,127.0479559,37.5762155,B,1123010400,서울특별시,동대문구,전농동,H,1123056000,서울특별시,동대문구,전농1동
109,전농2파출소,서울청,서울동대문경찰서,동대문구 전농로38다길 21,127.0542444,37.5863758,B,1123010400,서울특별시,동대문구,전농동,H,1123056000,서울특별시,동대문구,전농1동
110,제기파출소,서울청,서울동대문경찰서,동대문구 제기동 1145-2,127.0375464,37.5911184,B,1123010300,서울특별시,동대문구,제기동,H,1123054500,서울특별시,동대문구,제기동
111,청량리파출소,서울청,서울동대문경찰서,동대문구 청량리동 232-2,127.0452894,37.5841505,B,1123010700,서울특별시,동대문구,청량리동,H,1123070500,서울특별시,동대문구,청량리동
112,회기파출소,서울청,서울동대문경찰서,동대문구 회기동 103-46,127.0521635,37.5912132,B,1123010800,서울특별시,동대문구,회기동,H,1123071000,서울특별시,동대문구,회기동
113,휘경파출소,서울청,서울동대문경찰서,동대문구 한천로 266,127.0680497,37.584542,B,1123010900,서울특별시,동대문구,휘경동,H,1123073000,서울특별시,동대문구,휘경2동
114,남성지구대,서울청,서울동작경찰서,동작구 사당동 169-21,126.9745758,37.4835547,B,1159010700,서울특별시,동작구,사당동,H,1159064000,서울특별시,동작구,사당3동
115,노량진지구대,서울청,서울동작경찰서,동작구 대방동 68-55,126.9333125,37.51115,B,1159010800,서울특별시,동작구,대방동,H,1159066000,서울특별시,동작구,대방동
116,대방파출소,서울청,서울동작경찰서,동작구 대방동 417-4,126.9205619,37.4985633,B,1159010800,서울특별시,동작구,대방동,H,1159066000,서울특별시,동작구,대방동
117,사당지구대,서울청,서울동작경찰서,동작구 사당동 1028-1,126.9795437,37.4805612,B,1159010700,서울특별시,동작구,사당동,H,1159062000,서울특별시,동작구,사당1동
118,상도지구대,서울청,서울동작경찰서,동작구 상도동 364-36,126.9362486,37.5059329,B,1159010200,서울특별시,동작구,상도동,H,1159054000,서울특별시,동작구,상도2동
119,서울동작경찰서,서울청,서울동작경찰서,동작구 노량진1동 72,126.9428596,37.5131459,B,1159010100,서울특별시,동작구,노량진동,H,1159051000,서울특별시,동작구,노량진1동
120,신대방지구대,서울청,서울동작경찰서,동작구 신대방동 719-2,126.9059332,37.4866221,B,1159010900,서울특별시,동작구,신대방동,H,1159067000,서울특별시,동작구,신대방1동
121,흑석지구대,서울청,서울동작경찰서,동작구 본동 150-1,126.9536254,37.5123504,B,1159010400,서울특별시,동작구,본동,H,1159051000,서울특별시,동작구,노량진1동
122,공덕지구대,서울청,서울마포경찰서,마포구 공덕동 456,126.9540834,37.551789,B,1144010100,서울특별시,마포구,아현동,H,1144055500,서울특별시,마포구,아현동
123,망원파출소,서울청,서울마포경찰서,마포구 망원동 398-1,126.9027666,37.5542771,B,1144012300,서울특별시,마포구,망원동,H,1144069000,서울특별시,마포구,망원1동
124,상암파출소,서울청,서울마포경찰서,마포구 합정동 378-21,126.893838,37.578292,B,1144012700,서울특별시,마포구,상암동,H,1144074000,서울특별시,마포구,상암동
125,서강지구대,서울청,서울마포경찰서,마포구 창전동 402-59,126.929288,37.547333,B,1144011400,서울특별시,마포구,창전동,H,1144065500,서울특별시,마포구,서강동
126,서울마포경찰서,서울청,서울마포경찰서,마포구 아현동 618-1,126.9539447,37.5510175,B,1144010100,서울특별시,마포구,아현동,H,1144055500,서울특별시,마포구,아현동
